value;normdata_id;normdata_category;provider;docCount
"Sao Paulo";"";"";"Haus des Dokumentarfilms";"2"
"Sarajevo";"";"";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Sardinien";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Sauerkraut";"";"";"Haus des Dokumentarfilms";"1"
"Sawos";"";"";"Technische Informationsbibliothek (TIB)";"5"
"Schaden";"";"";"Haus des Dokumentarfilms";"1"
"Schaf";"";"";"Haus des Dokumentarfilms";"8"
"Schaffhausen";"";"";"Haus des Dokumentarfilms";"8"
"Schafwolle";"";"";"Haus des Dokumentarfilms";"2"
"Schafzucht";"";"";"Haus des Dokumentarfilms";"2"
"Schale";"";"";"Technische Informationsbibliothek (TIB)";"2"
"Schamane";"";"";"Haus des Dokumentarfilms";"1"
"Schamanismus";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Schammelt, Gerhard";"";"";"Haus des Dokumentarfilms";"1"
"Scharbeutz";"";"";"Haus des Dokumentarfilms";"1"
"Scharfschütze";"4179403-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Schattenspiel";"4052103-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Schatz";"4203576-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Schaufenster";"";"";"Haus des Dokumentarfilms";"5"
"Schauinsland";"";"";"Haus des Dokumentarfilms";"9"
"Schauinslandbahn";"";"";"Haus des Dokumentarfilms";"4"
"Schaukel";"";"";"Haus des Dokumentarfilms";"1"
"Schaumburg";"";"";"Haus des Dokumentarfilms";"1"
"Schauspiel";"";"";"Technische Informationsbibliothek (TIB)";"3"
"Schauspieler";"4052154-0";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"7"
"Schauspielerin";"4153179-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"8"
"Schausteller";"4179442-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Scheden";"";"";"Haus des Dokumentarfilms";"1"
"Scheibenschlagen";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Scheidung";"4013656-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Scheinkampf";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Scheiterhaufen";"7643550-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Schempp, Martin";"";"";"Haus des Dokumentarfilms";"1"
"Schempp-Hirth Flugzeugbau GmbH";"";"";"Haus des Dokumentarfilms";"2"
"Scheveningen";"";"";"Haus des Dokumentarfilms";"5"
"Schiefertafel";"";"";"Haus des Dokumentarfilms";"3"
"Schießen";"";"";"Haus des Dokumentarfilms";"1"
"Schießsport";"";"";"Haus des Dokumentarfilms";"1"
"Schiff";"";"";"Haus des Dokumentarfilms";"61"
"Schiffahrt";"";"";"Haus des Dokumentarfilms";"13"
"Schifferstadt";"";"";"Haus des Dokumentarfilms";"1"
"Schifffahrt";"";"";"Haus des Dokumentarfilms";"48"
"Schiffsbrücke";"";"";"Haus des Dokumentarfilms";"1"
"Schiffschaukel";"";"";"Haus des Dokumentarfilms";"1"
"Schiffshebewerk";"";"";"Haus des Dokumentarfilms";"1"
"Schiffsreise";"";"";"Haus des Dokumentarfilms";"23"
"Schiffswerft";"4128181-0";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Schiltach";"";"";"Haus des Dokumentarfilms";"2"
"Schimpanse";"4179632-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Schindel, Schindelmacher";"";"";"Technische Informationsbibliothek (TIB)";"1"
